CÓDIGO;SUS;TUNEP
37007050;322,79;492,84
37008056;332,29;1.108,43
37009010;471,61;1.131,78
37009044;163,1;427,04
37010042;583,17;1.293,36
37011014;472,32;1.182,85
37011030;204,38;457,36
37011049;980,31;1.429,63
37011057;223,03;576,27
37012045;583,3;1.189,59
37012053;299,65;462,66
37013017;261,78;840,14
37013025;194,09;637,45
37013033;242,23;415,56
37013050;322,8;794,3
37014013;428,09;1.018,41
37014021;187,94;535,88
37015028;154,9;497,04
37016016;485,11;1.274,89
37016024;195,5;682,35
37017012;479,61;1.633,80
37020013;480,57;1.100,30
37020021;251,27;422,77
37021010;470,25;1.100,30
37021028;222,1;552,44
37022016;492,56;1.575,39
37022024;189,49;566,52
37023012;358,8;785,84
37024019;469,29;1.061,86
37025015;380,81;991,12
37028014;471,62;1.127,60
37029010;476,36;1.337,81
37030019;484,64;1.257,78
37031015;479,61;1.368,45
37032011;486,62;1.336,95
37033018;358,81;441,38
37034014;329,35;1.043,18
37035010;376,05;1.248,55
37036017;350,95;1.248,55
37037013;326,07;974,43
37040014;1.714,66;3.000,66
37090011;794,86;1.111,98
37090038;428,82;706,46
37091018;445,44;540,02
37701045;1.089,98;1.589,56
37702041;2.548,95;4.460,66
37703048;2.781,32;4.867,31
37705032;1.089,97;1.589,56
37705113;3.527,83;6.173,70
37713035;740;1.001,46
38000008;0;0
38001020;253,29;936,1
38001039;324,17;933,83
38001047;434,74;720,38
38001055;285,42;936,1
38001063;486,78;1.439,04
38001080;191,2;637,45
38001101;338,79;552,62
38001128;331,21;727,03
38001136;575,78;1.210,31
38002027;412,35;1.299,71
38002035;380,53;1.248,55
38002043;440,46;973,41
38002051;277,92;936,1
38002060;450,85;1.033,83
38002078;219,67;802,45
38002086;183,43;497,04
38002116;483,14;1.060,43
38002124;240,03;694,56
38002132;136,88;403,95
38003015;348,35;566,97
38003023;412,64;1.305,52
38003031;334,31;1.150,51
38003040;483,14;973,41
38003066;450,85;1.033,83
38003074;209,82;488,11
38003082;201,25;724,2
38003090;159,37;471,63
38003104;245,88;552,62
38003112;300,77;1.114,93
38003120;244,9;727,03
38003139;480,94;1.423,40
38003155;300,87;1.423,48
38004011;575,79;663,37
38004020;281,77;936,1
38004046;104,81;347,55
38004054;383,77;1.416,55
38004062;274,12;745,88
38004089;225,36;724,2
38004097;161,19;580,35
38004100;338,79;552,62
38004119;287,58;469,54
38004127;242,23;458,12
38004135;429,18;817,46
38005018;339,82;422,78
38005026;405,71;954,59
38005034;334,31;1.150,51
38005050;274,7;869,2
38005069;450,84;921,73
38005077;277,77;455,53
38005107;245,88;552,62
38005123;240,84;745,88
38005131;450,84;921,73
38006022;274,83;872,12
38006030;328,16;1.018,03
38006057;357,82;936,1
38006073;209,68;455,71
38006081;188,76;552,64
38006103;296,35;980,05
38006111;209,82;710,33
38006120;465,85;1.363,83
38007010;339,82;489,92
38007029;235,46;872,12
38007070;209,82;710,33
38007088;229,4;693,31
38007100;171,81;455,39
38007118;288,84;813,85
38007126;262,96;759,67
38008025;268,82;694,6
38008050;276,38;917,91
38008076;252,35;791,64
38008084;357,77;724,2
38008092;169,91;410,15
38008114;287,6;536,02
38008122;274,12;745,88
38009013;231,59;696,62
38009021;387,98;1.473,31
38009056;307,35;917,91
38009110;287,69;395,58
38010011;450,84;872,2
38010020;501,52;1.504,80
38010054;278,84;936,1
38010089;229,66;771,79
38010097;650,66;1.171,32
38011050;235,46;439,55
38011085;236,73;799,15
38012014;385,76;964,95
38012081;397,89;724,2
38013010;314,88;964,95
38013088;336,48;552,64
38014092;387,89;724,2
38015013;136,88;235,94
38016010;575,79;917,3
38017016;497,76;1.410,33
38018012;481,7;1.213,69
38022010;339,82;499,77
38023016;150,58;235,94
38024012;239,34;566,97
38025019;633,36;872,2
38026015;577,91;1.410,33
38027011;306,8;964,95
38028018;491,31;1.878,50
38040026;1.288,27;2.254,47
38041022;1.295,49;1.343,25
38042029;1.265,59;2.214,78
38043025;1.300,80;1.538,02
38046024;2.089,36;3.656,38
38047020;2.122,46;3.714,31
38048108;746,78;1.138,46
38048140;209,93;367,38
38049147;516;903
38050056;430,43;719,58
38050080;377,77;724,16
38050145;1.060,22;1.855,39
38051052;791,61;1.021,66
38051141;550;962,5
38052148;743;1.300,25
38053144;1.766,00;3.090,50
38054140;605,8;1.060,15
38055147;1.167,40;2.042,95
38056143;191,19;334,58
38058138;798,47;1.397,32
38059061;798,44;1.379,77
38060060;798,47;1.397,32
38061139;798,44;1.397,27
38062011;836,62;836,62
38062020;838,47;838,47
38062038;818,47;818,47
38062046;568,89;568,89
38062054;676,99;676,99
38062062;876,99;876,99
38062070;241,72;241,72
38701057;527,66;1.217,61
38701162;2.090,48;3.658,34
38701170;3.440,10;6.020,18
38702037;2.541,61;4.447,82
38702169;2.263,54;2.657,93
38702177;3.478,31;6.087,04
38703050;164,66;439,96
38704056;927,54;1.480,61
38707012;369,61;525,39
38722011;369,61;741,52
38723018;527,66;794,27
39000001;0;0
39000010;0;0
39001024;651,22;1.589,30
39001032;337,45;989,3
39001040;139,73;571,78
39001067;429,06;1.268,79
39001083;366,38;1.066,78
39001105;192,6;471,91
39001113;784,95;1.382,07
39001130;1.010,78;1.740,16
39001164;396,29;920,23
39001172;275,73;901,35
39001199;91,49;381,2
39001202;139,07;459
39001210;151,66;441,28
39001229;15;26,25
39001261;1.297,01;2.269,77
39001300;50;87,5
39001318;429,35;751,36
39002020;1.744,62;3.169,85
39002039;337,45;337,45
39002047;1.135,17;1.655,45
39002055;377,4;1.135,64
39002071;282,66;1.058,50
39002080;171,94;453,65
39002098;221,18;812,05
39002101;214,81;453,65
39002110;149,03;532,92
39002128;1.635,28;2.384,76
39002136;759,42;1.524,92
39002144;395,76;1.229,13
39002152;819,87;1.455,03
39002160;171,94;453,65
39002179;171,94;453,65
39002187;203,29;612,93
39002195;91,49;381,2
39002209;203,28;458,81
39002217;225,17;305,6
39002225;10;17,5
39002268;1.044,86;1.828,51
39002306;75;131,25
39002314;335,41;586,97
39003027;1.600,27;1.708,93
39003043;263,51;894,52
39003051;613,35;1.713,59
39003060;375,8;1.268,79
39003078;494,93;1.719,44
39003086;101,56;342,7
39003108;277,76;439,33
39003116;139,73;489,12
39003124;1.570,66;2.581,01
39003132;149,01;532,66
39003140;1.154,84;1.885,95
39003159;769,42;1.122,14
39003175;388,82;439,02
39003191;258,91;645,12
39003205;140,33;475,74
39003213;225,16;441,28
39003221;15;26,25
39003230;2.561,24;4.482,17
39003264;2.263,54;3.961,20
39003302;50;87,5
39003310;784,95;1.373,66
39004023;752,28;752,28
39004058;151,9;571,78
39004066;145,79;489,12
39004082;465,02;1.100,73
39004090;103,86;342,7
39004112;1.994,25;2.908,29
39004120;461,38;1.018,72
39004139;972,96;1.524,92
39004155;171,94;453,65
39004180;203,29;612,93
39004198;91,49;160,11
39004210;225,16;458,05
39004228;15;26,25
39004236;313,13;1.054,40
39004260;665,28;1.164,24
39004309;75;131,25
39004317;759,43;1.329,00
39005020;257,97;451,45
39005054;446,09;1.348,87
39005062;359,22;1.110,05
39005089;366,37;960,11
39005097;204,65;696,11
39005100;192,6;449,05
39005119;784,95;1.382,07
39005127;149,03;532,92
39005135;171,94;453,65
39005143;147,41;511,14
39005151;145,79;489,12
39005178;306,27;694,49
39005186;203,29;645,12
39005194;91,49;160,11
39005224;15;26,25
39005232;368,03;844,41
39005267;665,28;1.164,24
39005305;50;87,5
39005313;268,41;469,72
39006026;237,99;582,2
39006042;378,7;894,52
39006050;295,75;651,16
39006069;171,94;453,65
39006077;269,8;342,7
39006085;244,87;793,3
39006093;280,49;488,91
39006107;192,6;449,05
39006123;1.635,28;2.384,76
39006131;972,97;1.711,58
39006140;391,47;1.171,37
39006174;268,41;646,08
39006212;225,16;441,28
39006220;15;26,25
39006263;665,28;1.164,24
39006301;75;131,25
39006310;335,41;586,97
39007022;237,99;582,2
39007049;301,4;859,4
39007057;379,15;1.174,28
39007065;339,94;1.250,03
39007081;314,05;844,94
39007090;199,8;630,73
39007103;205,53;742,72
39007120;510,3;1.922,45
39007146;401,1;1.301,21
39007162;145,79;489,12
39007170;268,41;613,62
39007189;204,77;358,35
39007197;300,45;470,52
39007219;759,42;1.688,72
39007227;15;26,25
39007235;1.089,98;1.907,47
39007260;665,28;1.164,24
39007316;268,41;469,72
39008029;1.722,40;2.641,52
39008045;377,59;859,4
39008070;210,31;803,75
39008088;248,71;844,94
39008096;250,56;647,21
39008100;316,48;761,27
39008142;344,06;1.024,37
39008150;769,41;1.181,44
39008169;243,81;574,5
39008177;388,98;778,16
39008185;203,29;355,76
39008193;203,29;470,52
39008223;35;61,25
39008266;839,44;1.469,02
39008312;268,41;469,72
39009025;1.171,83;1.708,93
39009041;452,9;859,4
39009050;165,99;290,48
39009068;364,95;952,6
39009076;282,66;1.058,50
39009084;253,8;913,53
39009092;201,02;647,21
39009106;316,48;761,27
39009114;784,95;1.815,65
39009122;1.635,27;2.384,76
39009130;972,97;1.790,83
39009149;257,93;819,18
39009173;268,41;613,62
39009181;214,21;374,87
39009190;203,29;470,52
39009211;198,78;347,87
39009262;665,28;1.164,24
39009319;268,41;469,72
39010040;284,27;1.050,70
39010058;301,4;859,4
39010074;210,31;803,75
39010082;450,84;1.284,63
39010090;596,18;1.043,32
39010112;1.045,94;1.815,65
39010120;1.635,27;2.384,76
39010147;257,93;819,18
39010171;268,41;728
39010180;203,29;355,76
39010210;379,71;664,49
39010260;665,28;1.164,24
39010317;187,88;328,79
39011020;1.632,40;2.641,52
39011062;499,74;1.470,35
39011070;269,8;938,63
39011097;107,24;441
39011100;192,6;455,53
39011119;784,95;1.442,60
39011127;1.635,27;2.384,76
39011135;972,97;1.790,83
39011143;578,89;1.181,00
39011151;846,36;1.780,00
39011160;481,49;884,82
39011186;203,29;355,76
39011194;764,95;847
39011216;759,42;1.328,99
39011267;2.461,12;4.306,96
39011313;30;52,5
39012093;107,24;187,67
39012115;122,22;446,85
39012131;972,97;1.790,83
39012174;268,41;569,95
39012182;203,29;355,76
39012190;203,3;454,52
39012212;151,67;265,42
39012263;2.461,12;4.306,96
39012310;268,41;469,72
39013022;964,94;1.708,93
39013057;257,93;451,38
39013073;368,64;1.058,50
39013081;547,3;1.446,62
39013103;200,72;677,93
39013120;152,21;426,55
39013138;972,97;1.790,83
39013146;503,67;1.247,92
39013162;432,14;884,82
39013197;203,3;438,34
39013219;151,67;265,42
39013260;2.461,12;4.306,96
39013316;420,2;735,35
39014029;2.035,30;2.035,30
39014053;592,14;1.036,23
39014070;311,42;803,75
39014088;320,47;913,53
39014096;246,43;812,05
39014100;205,53;742,72
39014126;132,51;446,85
39014142;397,15;1.247,92
39014177;268,43;629,76
39014193;214,21;772,26
39014266;2.461,12;4.306,96
39014312;613,35;1.073,36
39015025;1.720,27;1.746,75
39015050;592,14;1.164,78
39015068;499,74;1.470,35
39015076;269,8;440,79
39015092;229,29;812,05
39015106;338,92;1.222,18
39015114;195,99;732,4
39015122;145,06;426,55
39015149;273,15;1.024,37
39015165;141,04;446,85
39015173;268,41;645,89
39015190;328,88;575,54
39015262;488,93;855,63
39015319;335,41;586,97
39016021;1.454,25;1.454,25
39016056;377,4;633,76
39016080;253,8;913,53
39016102;208,94;788,71
39016110;195,99;732,4
39016129;1.214,72;2.581,01
39016137;1.010,77;1.740,16
39016145;488,38;856,44
39016153;769,41;1.780,00
39016196;346,53;606,43
39016269;358,84;627,97
39016315;429,35;751,36
39017028;1.614,24;2.641,52
39017052;570,84;998,97
39017060;377,31;1.268,79
39017087;366,37;909,64
39017095;210,92;780,62
39017117;145,06;426,55
39017125;1.635,27;2.384,76
39017141;332,26;897,87
39017176;336,6;629,76
39017192;91,49;160,11
39017265;1.380,83;2.416,45
39018024;231,52;902,5
39018059;683,15;1.195,51
39018067;120,14;446,85
39018105;192,6;439,33
39018113;145,06;426,55
39018121;1.635,27;2.384,76
39018148;108,25;343,65
39018172;336,6;694,49
39018261;1.034,54;1.810,45
39019020;231,52;902,5
39019055;295,75;517,56
39019063;114,44;427,06
39019071;221,71;803,75
39019080;471,38;1.168,37
39019144;108,25;343,65
39019152;108,25;343,65
39019179;268,42;455,16
39020029;190,05;902,5
39020045;354,91;621,09
39020053;379,15;663,51
39020061;155,89;343,65
39020070;282,66;494,66
39020088;371,88;844,94
39020096;221,18;387,07
39020100;258,26;439,33
39020126;582,65;1.453,37
39020169;255,87;907,03
39020177;268,42;471,29
39021025;349,77;902,5
39021041;1.135,17;1.986,55
39021050;390,9;684,08
39021076;269,8;472,15
39021092;221,18;387,07
39021106;241,15;423,13
39021122;1.602,17;2.969,77
39021130;119,54;446,85
39021173;268,42;455,16
39022048;284,27;497,47
39022056;165,99;290,48
39022072;282,66;494,66
39022080;115,45;202,04
39022099;246,43;431,25
39022102;192,6;423,13
39022137;759,43;1.200,49
39022145;1.154,84;1.885,95
39022161;374,78;655,87
39023028;1.883,27;1.883,27
39023044;1.600,27;2.800,47
39023079;402,58;704,5
39023087;115,45;440,79
39023095;201,02;351,79
39023109;192,6;423,13
39023141;578,89;897,87
39023168;268,41;469,72
39023176;284,06;1.013,60
